"Kernel Name","void gpuKernel<double, (int)256, (unsigned int)1, (unsigned int)1, (bool)0>(double, double *, double *, double *)",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Theoretical Sectors Local","L2 Explicit Evict Policies","L2 Explicit Hit Policy Evict First","L2 Explicit Hit Policy Evict Last","L2 Explicit Hit Policy Evict Normal","L2 Explicit Hit Policy Evict Normal Demote","L2 Explicit Miss Policy Evict First","L2 Explicit Miss Policy Evict Normal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7f170325c4d0","      LEA R12, P1, R4, R15, 0x3 ","415","275","415","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","138","0","0","0","0","35","0","0","0","0","25","43","0","0","0","174","0","0","114","0","0","0","0","22","0","0","0","0","0","0","0","0","0","139"
"0x7f170325c4e0","      LEA.HI.X R11, R6, R17, R7, 0x3, P0 ","138","61","138","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","18","0","0","0","0","2","0","0","0","0","6","51","0","0","0","61","0","0","9","0","0","0","0","2","0","0","0","0","0","0","0","0","0","50"
"0x7f170325c4f0","      LEA.HI.X R13, R4, R17, R5, 0x3, P1 ","132","55","132","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","9","0","0","0","0","4","0","0","0","0","4","64","0","0","0","51","0","0","6","0","0","0","0","3","0","0","0","0","0","0","0","0","0","46"
"0x7f170325c500","      LD.E.64 R4, [R10.64] ","605946","603347","605946","8388608","268435456","268435456","32","32","Local","Load","64","0","0","0","0","0","0","0","0","536870912","","0","0","0","0","0","0","0","0","1","0","0","349722","0","0","0","255740","0","0","318","53","0","0","0","112","0","0","0","0","0","348044","0","0","0","255211","0","0","0","0","0","0","0","92"
"0x7f170325c510","      LD.E.64 R6, [R12.64+0x800] ","179951","179157","179951","8388608","268435456","268435456","32","32","Local","Load","64","0","0","0","0","0","0","0","0","536870912","","0","0","0","0","0","0","0","0","0","0","0","103534","0","0","0","76133","0","0","44","51","0","0","0","189","0","0","0","0","0","103005","0","0","0","75994","0","0","0","0","0","0","0","158"
"0x7f170325c520","      IMAD.SHL.U32 R0, R0, 0x2, RZ ","71","3","71","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","2","0","0","65","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0"
"0x7f170325c530","      IMAD.MOV.U32 R9, RZ, RZ, RZ ","138","66","138","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","3","57","0","0","0","74","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","65"
"0x7f170325c540","      LOP3.LUT R8, R0, 0x6, RZ, 0xe2, !PT ","209","117","209","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","2","0","0","0","0","7","0","0","0","0","11","59","0","0","0","130","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","111"
"0x7f170325c550","      IMAD.WIDE.U32 R2, R2, 0x8, R8 ","304","193","304","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","3","68","0","0","0","231","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","192"
"0x7f170325c560","      LEA R8, P0, R2, R15, 0x3 ","410","311","410","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","115","0","0","0","0","7","0","0","0","0","11","38","0","0","0","239","0","0","101","0","0","0","0","4","0","0","0","0","0","0","0","0","0","206"
"0x7f170325c570","      LEA.HI.X R9, R2, R17, R3, 0x3, P0 ","294","204","294","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","8","0","0","0","0","9","0","0","0","0","4","64","0","0","0","209","0","0","5","0","0","0","0","9","0","0","0","0","0","0","0","0","0","190"
"0x7f170325c580","      DMMA.884 R4, R4, R6, RZ ","1021560","1016686","1021560","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1021510","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","1016686","0","0","0","0","0","0","0","0","0","0","0"
"0x7f170325c590","      NOP ","739","696","739","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","40","0","0","0","698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","696"
"0x7f170325c5a0","      ST.E.128 [R8.64+0x1000], R4 ","183221","182495","183221","8388608","268435456","268435456","32","32","Local","Store","128","0","0","0","0","0","0","0","0","1073741824","","0","0","0","0","0","0","0","0","1","0","0","100368","0","0","0","82352","0","0","66","45","0","0","0","389","0","0","0","0","0","99913","0","0","0","82199","0","0","0","0","0","0","0","383"
"0x7f170325c5b0","      EXIT ","65","5","65","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"0x7f170325c5c0","      BRA 0x7f170325c5c0","837206","833405","837206","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","462","0","836501","0","0","0","0","0","0","0","0","0","61","0","0","0","182","0","429","0","832814","0","0","0","0","0","0","0","0","0","0","0","0","0","162"
"0x7f170325c5d0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f170325c5e0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f170325c5f0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f170325c600","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f170325c610","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f170325c620","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f170325c630","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f170325c640","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f170325c650","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f170325c660","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f170325c670","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kernel Name","void gpuKernel<double, (int)256, (unsigned int)1, (unsigned int)1, (bool)0>(double, double *, double *, double *)",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Theoretical Sectors Local","L2 Explicit Evict Policies","L2 Explicit Hit Policy Evict First","L2 Explicit Hit Policy Evict Last","L2 Explicit Hit Policy Evict Normal","L2 Explicit Hit Policy Evict Normal Demote","L2 Explicit Miss Policy Evict First","L2 Explicit Miss Policy Evict Normal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7f170325c400","      IMAD.MOV.U32 R1, RZ, RZ, c[0x0][0x28] ","238","207","238","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","21","0","0","3","0","0","0","210","4","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","188","0","0","0","0","0","0"
"0x7f170325c410","      S2R R0, SR_LANEID ","181269","180554","181269","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","180991","0","0","97","46","0","0","0","134","0","0","0","0","0","0","0","0","0","180420","0","0","0","0","0","0","0","134"
"0x7f170325c420","      IADD3 R1, R1, -0x1800, RZ ","71","9","71","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","3","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0"
"0x7f170325c430","      IMAD.MOV.U32 R5, RZ, RZ, RZ ","52","8","52","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","8","0","1","42","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","0","0","0","0"
"0x7f170325c440","      ULDC.64 UR4, c[0x0][0x118] ","94","44","94","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","46","0","0","0","0","0","7","0","1","39","0","0","0","0","0","0","0","0","39","0","0","0","0","0","5","0","0","0","0","0","0","0"
"0x7f170325c450","      IMAD.MOV.U32 R3, RZ, RZ, RZ ","70","8","70","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","0","0","60","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","0","0","0","0"
"0x7f170325c460","      IADD3 R15, P0, R1, c[0x0][0x20], RZ ","54","8","54","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","9","0","3","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0"
"0x7f170325c470","      IMAD.X R17, RZ, RZ, c[0x0][0x24], P0 ","232","118","232","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","33","34","0","0","0","140","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","117"
